hz,b,c,ph,am,,,,
2567500000,-1.85E+01,4.12E+01,-2.60E+01,1.77E+02,-2.58E+01,1.79E+02,-1.20E+01,8.13E+01
2572400000,-1.79E+01,1.56E+01,-2.57E+01,1.34E+02,-2.54E+01,1.33E+02,-1.17E+01,1.40E+01
2577300000,-1.76E+01,-9.79E+00,-2.51E+01,9.14E+01,-2.53E+01,8.88E+01,-1.18E+01,-5.05E+01
2582200000,-1.74E+01,-3.46E+01,-2.44E+01,4.56E+01,-2.50E+01,4.63E+01,-1.20E+01,-1.12E+02
2587100000,-1.73E+01,-5.92E+01,-2.40E+01,-1.47E+00,-2.43E+01,3.53E+00,-1.20E+01,-1.74E+02
2592000000,-1.73E+01,-8.35E+01,-2.39E+01,-4.72E+01,-2.34E+01,-4.29E+01,-1.18E+01,1.19E+02
2596900000,-1.74E+01,-1.08E+02,-2.36E+01,-9.24E+01,-2.29E+01,-9.30E+01,-1.17E+01,4.70E+01
2601800000,-1.75E+01,-1.33E+02,-2.34E+01,-1.39E+02,-2.31E+01,-1.42E+02,-1.21E+01,-2.28E+01
2606700000,-1.74E+01,-1.58E+02,-2.33E+01,1.76E+02,-2.34E+01,1.74E+02,-1.26E+01,-8.53E+01
2611600000,-1.73E+01,1.76E+02,-2.30E+01,1.32E+02,-2.31E+01,1.31E+02,-1.33E+01,-1.44E+02
2616500000,-1.72E+01,1.51E+02,-2.25E+01,8.64E+01,-2.24E+01,8.68E+01,-1.39E+01,1.54E+02
2621400000,-1.71E+01,1.27E+02,-2.20E+01,3.86E+01,-2.18E+01,3.83E+01,-1.43E+01,8.72E+01
2626300000,-1.72E+01,1.04E+02,-2.19E+01,-9.59E+00,-2.17E+01,-1.18E+01,-1.49E+01,1.81E+01
2631200000,-1.73E+01,8.01E+01,-2.18E+01,-5.66E+01,-2.20E+01,-5.99E+01,-1.56E+01,-4.68E+01
2636100000,-1.77E+01,5.49E+01,-2.17E+01,-1.04E+02,-2.22E+01,-1.06E+02,-1.63E+01,-1.07E+02
2641000000,-1.82E+01,2.79E+01,-2.17E+01,-1.52E+02,-2.22E+01,-1.51E+02,-1.68E+01,-1.65E+02
2645900000,-1.88E+01,-8.37E-02,-2.19E+01,1.61E+02,-2.21E+01,1.64E+02,-1.69E+01,1.35E+02
2650800000,-1.94E+01,-2.83E+01,-2.22E+01,1.16E+02,-2.19E+01,1.18E+02,-1.65E+01,7.38E+01
2655700000,-2.01E+01,-5.65E+01,-2.21E+01,7.09E+01,-2.19E+01,7.05E+01,-1.63E+01,1.26E+01
2660600000,-2.10E+01,-8.64E+01,-2.20E+01,2.54E+01,-2.20E+01,2.43E+01,-1.64E+01,-4.62E+01
2665500000,-2.24E+01,-1.21E+02,-2.18E+01,-2.09E+01,-2.20E+01,-2.08E+01,-1.70E+01,-1.04E+02
2670400000,-2.38E+01,-1.64E+02,-2.16E+01,-6.75E+01,-2.17E+01,-6.63E+01,-1.79E+01,-1.66E+02
2675300000,-2.38E+01,1.46E+02,-2.14E+01,-1.15E+02,-2.12E+01,-1.14E+02,-1.84E+01,1.26E+02
2680200000,-2.23E+01,1.02E+02,-2.12E+01,-1.64E+02,-2.10E+01,-1.64E+02,-1.85E+01,5.87E+01
2685100000,-2.11E+01,6.79E+01,-2.14E+01,1.46E+02,-2.13E+01,1.45E+02,-1.88E+01,-2.62E+00
2690000000,-2.01E+01,4.18E+01,-2.19E+01,9.69E+01,-2.20E+01,9.56E+01,-1.97E+01,-5.65E+01
